STATION,NAME,YEAR,MONTH,DAY,TMAX,TMIN,TOT_DAY
USW00023062,"DENVER STAPLETON, CO US",1948,5,30,77,52,151
USW00023062,"DENVER STAPLETON, CO US",1948,5,31,80,54,152
USW00023062,"DENVER STAPLETON, CO US",1948,6,1,78,52,153
USW00023062,"DENVER STAPLETON, CO US",1948,6,2,85,52,154
USW00023062,"DENVER STAPLETON, CO US",1948,6,3,85,59,155
USW00023062,"DENVER STAPLETON, CO US",1948,6,4,84,52,156
USW00023062,"DENVER STAPLETON, CO US",1948,6,5,84,51,157
USW00023062,"DENVER STAPLETON, CO US",1948,6,6,87,53,158
USW00023062,"DENVER STAPLETON, CO US",1948,6,7,82,61,159
USW00023062,"DENVER STAPLETON, CO US",1948,6,8,81,58,160
USW00023062,"DENVER STAPLETON, CO US",1948,6,9,88,59,161
USW00023062,"DENVER STAPLETON, CO US",1948,6,10,84,56,162
USW00023062,"DENVER STAPLETON, CO US",1948,6,11,83,61,163
USW00023062,"DENVER STAPLETON, CO US",1948,6,12,77,58,164
USW00023062,"DENVER STAPLETON, CO US",1948,6,13,88,58,165
USW00023062,"DENVER STAPLETON, CO US",1948,6,14,87,54,166
USW00023062,"DENVER STAPLETON, CO US",1948,6,15,82,53,167
USW00023062,"DENVER STAPLETON, CO US",1948,6,16,88,57,168
USW00023062,"DENVER STAPLETON, CO US",1948,6,17,91,58,169
USW00023062,"DENVER STAPLETON, CO US",1948,6,18,73,50,170
USW00023062,"DENVER STAPLETON, CO US",1948,6,19,64,51,171
USW00023062,"DENVER STAPLETON, CO US",1948,6,20,74,52,172
USW00023062,"DENVER STAPLETON, CO US",1948,6,21,63,51,173
USW00023062,"DENVER STAPLETON, CO US",1948,6,22,68,48,174
USW00023062,"DENVER STAPLETON, CO US",1948,6,23,63,43,175
USW00023062,"DENVER STAPLETON, CO US",1948,6,24,76,48,176
USW00023062,"DENVER STAPLETON, CO US",1948,6,25,79,51,177
USW00023062,"DENVER STAPLETON, CO US",1948,6,26,72,55,178
USW00023062,"DENVER STAPLETON, CO US",1948,6,27,65,50,179
USW00023062,"DENVER STAPLETON, CO US",1948,6,28,77,47,180
USW00023062,"DENVER STAPLETON, CO US",1948,6,29,81,52,181
USW00023062,"DENVER STAPLETON, CO US",1948,6,30,90,56,182
USW00023062,"DENVER STAPLETON, CO US",1948,7,1,89,62,183
USW00023062,"DENVER STAPLETON, CO US",1948,7,2,88,55,184
USW00023062,"DENVER STAPLETON, CO US",1948,7,3,86,55,185
USW00023062,"DENVER STAPLETON, CO US",1948,7,4,91,57,186
USW00023062,"DENVER STAPLETON, CO US",1948,7,5,92,62,187
USW00023062,"DENVER STAPLETON, CO US",1948,7,6,88,60,188
USW00023062,"DENVER STAPLETON, CO US",1948,7,7,91,56,189
USW00023062,"DENVER STAPLETON, CO US",1948,7,8,91,58,190
USW00023062,"DENVER STAPLETON, CO US",1948,7,9,92,54,191
USW00023062,"DENVER STAPLETON, CO US",1948,7,10,90,57,192
USW00023062,"DENVER STAPLETON, CO US",1948,7,11,90,58,193
USW00023062,"DENVER STAPLETON, CO US",1948,7,12,90,57,194
USW00023062,"DENVER STAPLETON, CO US",1948,7,13,93,59,195
USW00023062,"DENVER STAPLETON, CO US",1948,7,14,87,60,196
USW00023062,"DENVER STAPLETON, CO US",1948,7,15,83,59,197
USW00023062,"DENVER STAPLETON, CO US",1948,7,16,80,53,198
USW00023062,"DENVER STAPLETON, CO US",1948,7,17,76,58,199
USW00023062,"DENVER STAPLETON, CO US",1948,7,18,80,55,200
USW00023062,"DENVER STAPLETON, CO US",1948,7,19,90,55,201
USW00023062,"DENVER STAPLETON, CO US",1948,7,20,90,59,202
USW00023062,"DENVER STAPLETON, CO US",1948,7,21,84,58,203
USW00023062,"DENVER STAPLETON, CO US",1948,7,22,84,56,204
USW00023062,"DENVER STAPLETON, CO US",1948,7,23,91,56,205
USW00023062,"DENVER STAPLETON, CO US",1948,7,24,89,66,206
USW00023062,"DENVER STAPLETON, CO US",1948,7,25,85,59,207
USW00023062,"DENVER STAPLETON, CO US",1948,7,26,90,60,208
USW00023062,"DENVER STAPLETON, CO US",1948,7,27,92,60,209
USW00023062,"DENVER STAPLETON, CO US",1948,7,28,86,60,210
USW00023062,"DENVER STAPLETON, CO US",1948,7,29,86,58,211
USW00023062,"DENVER STAPLETON, CO US",1948,7,30,84,52,212
USW00023062,"DENVER STAPLETON, CO US",1948,7,31,88,56,213
USW00023062,"DENVER STAPLETON, CO US",1948,8,1,87,54,214
USW00023062,"DENVER STAPLETON, CO US",1948,8,2,88,55,215
USW00023062,"DENVER STAPLETON, CO US",1948,8,3,79,54,216
USW00023062,"DENVER STAPLETON, CO US",1948,8,4,70,56,217
USW00023062,"DENVER STAPLETON, CO US",1948,8,5,83,58,218
USW00023062,"DENVER STAPLETON, CO US",1948,8,6,85,58,219
USW00023062,"DENVER STAPLETON, CO US",1948,8,7,87,58,220
USW00023062,"DENVER STAPLETON, CO US",1948,8,8,87,57,221
USW00023062,"DENVER STAPLETON, CO US",1948,8,9,87,57,222
USW00023062,"DENVER STAPLETON, CO US",1948,8,10,85,55,223
USW00023062,"DENVER STAPLETON, CO US",1948,8,11,90,59,224
USW00023062,"DENVER STAPLETON, CO US",1948,8,12,91,60,225
USW00023062,"DENVER STAPLETON, CO US",1948,8,13,82,59,226
USW00023062,"DENVER STAPLETON, CO US",1948,8,14,88,53,227
USW00023062,"DENVER STAPLETON, CO US",1948,8,15,86,55,228
USW00023062,"DENVER STAPLETON, CO US",1948,8,16,92,62,229
USW00023062,"DENVER STAPLETON, CO US",1948,8,17,94,64,230
USW00023062,"DENVER STAPLETON, CO US",1948,8,18,90,58,231
USW00023062,"DENVER STAPLETON, CO US",1948,8,19,92,64,232
USW00023062,"DENVER STAPLETON, CO US",1948,8,20,85,61,233
USW00023062,"DENVER STAPLETON, CO US",1948,8,21,92,54,234
USW00023062,"DENVER STAPLETON, CO US",1948,8,22,91,65,235
USW00023062,"DENVER STAPLETON, CO US",1948,8,23,89,58,236
USW00023062,"DENVER STAPLETON, CO US",1948,8,24,90,62,237
USW00023062,"DENVER STAPLETON, CO US",1948,8,25,80,56,238
USW00023062,"DENVER STAPLETON, CO US",1948,8,26,79,54,239
USW00023062,"DENVER STAPLETON, CO US",1948,8,27,90,52,240
USW00023062,"DENVER STAPLETON, CO US",1948,8,28,93,61,241
USW00023062,"DENVER STAPLETON, CO US",1948,8,29,93,66,242
USW00023062,"DENVER STAPLETON, CO US",1948,8,30,93,56,243
USW00023062,"DENVER STAPLETON, CO US",1948,8,31,94,62,244
USW00023062,"DENVER STAPLETON, CO US",1948,9,1,90,62,245
USW00023062,"DENVER STAPLETON, CO US",1948,9,2,90,56,246
USW00023062,"DENVER STAPLETON, CO US",1948,9,3,92,55,247
